;xi;xi - sr;(xi - sr)^2
1;1,46;0,11;0,0118
2;1,44;0,09;0,0079
3;1,43;0,08;0,0062
4;1,4;0,05;0,0024
5;1,35;0;0
6;1,35;0;0
7;1,33;-0,02;0,0004
8;1,32;-0,03;0,001
9;1,34;-0,01;0,0001
10;1,29;-0,06;0,0037
11;1,26;-0,09;0,0083
12;1,24;-0,11;0,0124
13;1,21;-0,14;0,0199
14;1,21;-0,14;0,0199
15;1,2;-0,15;0,0229
16;1,3;-0,05;0,0026
17;1,36;0,01;0,0001
18;1,46;0,11;0,0118
19;1,33;-0,02;0,0004
20;1,4;0,05;0,0024
21;1,25;-0,1;0,0102
22;1,46;0,11;0,0118
23;1,33;-0,02;0,0004
24;1,43;0,08;0,0062
25;1,41;0,06;0,0035
26;1,4;0,05;0,0024
27;1,35;0;0
28;1,43;0,08;0,0062
29;1,31;-0,04;0,0017
30;1,46;0,11;0,0118
31;1,31;-0,04;0,0017
32;1,43;0,08;0,0062
33;1,4;0,05;0,0024
34;1,21;-0,14;0,0199
35;1,33;-0,02;0,0004
36;1,23;-0,12;0,0147
37;1,4;0,05;0,0024
38;1,41;0,06;0,0035
39;1,25;-0,1;0,0102
40;1,33;-0,02;0,0004
41;1,31;-0,04;0,0017
42;1,45;0,1;0,0098
43;1,39;0,04;0,0015
44;1,5;0,15;0,0221
45;1,06;-0,29;0,0848
46;1,56;0,21;0,0436
47;1,41;0,06;0,0035
48;1,38;0,03;0,0008
49;1,38;0,03;0,0008
50;1,31;-0,04;0,0017
